id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1860-38003,1867-3-20,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-56203,1867-3-20,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-111416,1867-3-20,13,0-1-1-0-0-0-1-0-0-2-3-1-1-0-0,1860,1.3056877271680443,3.3846153846153846,3.0,0.8888888888888888,5,6,0.0,2.69,0.9,0.41,1.3,5
1860-82499,1867-3-20,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-50471,1867-3-23,13,0-1-1-0-0-0-1-0-1-2-2-1-1-0-0,1860,1.68867997942415,2.3076923076923075,4.0,0.5,4,6,0.0,1.89,0.9,1.0100000000000002,1.7,6
1860-102,1867-3-26,12,0-1-1-0-0-0-1-0-1-2-2-1-2-0-0,1860,1.119645121310866,3.75,3.0,1.0,6,8,0.0,3.1735537190082628,0.9090909090909091,0.38016528925619836,1.2727272727272727,2
1860-77887,1867-3-26,11,0-1-2-0-0-0-0-0-0-3-3-1-0-0-0,1860,1.3996183318613364,1.6363636363636365,3.0,0.8125,4,6,0.0,1.6900000000000002,0.9,0.44000000000000006,1.4,2
1860-114165,1867-3-27,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-113904,1867-3-28,11,0-1-1-0-0-0-1-0-1-1-2-2-1-0-0,1860,1.0845738095649322,3.5454545454545454,4.0,0.8888888888888888,5,7,0.0,2.69,0.9,0.64,1.4,3
1860-90052,1867-3-28,11,0-1-1-0-0-0-1-0-1-1-2-2-1-0-0,1860,1.1372175430503542,3.3636363636363638,3.0,1.0,5,7,0.0,2.69,0.9,0.41,1.3,2
