id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1800-60959,1804-05-03,12,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.3947287378687716,2.6,4.0,0.8333333333333334,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
1800-18208,1804-05-03,6,0-1-0-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-2408,1804-05-03,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,0.7094087764127253,2.2,4.0,0.75,3,6,0.0,1.4900000000000002,0.9,0.8099999999999999,1.7,4
1800-52655,1804-05-03,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,0.853300830443874,2.3333333333333335,3.0,0.6666666666666666,3,3,0.2,1.1388888888888888,0.8333333333333334,0.47222222222222215,1.1666666666666667,4
1800-56522,1804-05-03,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,0.853300830443874,2.3333333333333335,3.0,0.6666666666666666,3,3,0.2,1.1388888888888888,0.8333333333333334,0.47222222222222215,1.1666666666666667,4
1800-36229,1804-05-03,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,0.81482030987581,1.4,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1800-5983,1804-05-03,12,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.3947287378687716,2.6,4.0,0.8333333333333334,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
1800-50546,1804-05-03,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,0.81482030987581,1.4,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1800-37499,1804-05-03,11,2-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.5505463946059086,1.5,4.0,0.7916666666666666,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,4
1800-41287,1804-05-03,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.0397207708399179,1.5,3.0,0.8333333333333333,3,4,0.0,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-43531,1804-05-03,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.3141576165416782,1.9,4.0,0.7666666666666666,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
1800-7087,1804-05-03,6,0-1-0-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-8565,1804-05-03,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,0.7094087764127253,2.2,4.0,0.75,3,6,0.0,1.4900000000000002,0.9,0.8099999999999999,1.7,4
1800-8021,1805-01-24,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,1.1717035437571504,1.2,3.0,0.8333333333333333,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1800-40767,1805-02-05,9,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-1,1800,1.1835618070658083,1.5,4.0,0.7222222222222222,3,5,0.0,1.359375,0.875,0.984375,1.625,4
1800-35969,1805-02-11,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.0397207708399179,1.5,3.0,0.8333333333333333,3,4,0.0,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-56653,1805-02-15,8,2-0-0-1-0-2-0-0-1-0-0-0-1-0-0-0,1800,1.127105754354915,1.7142857142857142,3.0,0.875,4,5,0.0,2.1224489795918364,0.8571428571428571,0.4081632653061225,1.1428571428571428,2
1800-18966,1805-02-15,6,0-1-0-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1512925464970227,1.0,3.0,0.5,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,4
1800-24458,1805-02-15,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
