len_group,metric,MannKendall,p,slope,Parser,Corpus
15,depthVar,0,0.975075204335838,0.0,corenlp,Hansard (en)
15,depthMean,0,0.7506736383123935,0.0,corenlp,Hansard (en)
15,d$_{head-final}$,0,0.1030500364203979,0.0,corenlp,Hansard (en)
15,#Crossings,0,1.0,0.0,corenlp,Hansard (en)
15,Height$_{dependency}$,0,0.7244954726627992,0.0,corenlp,Hansard (en)
15,d$_{root}$,0,0.3601802271533503,0.0,corenlp,Hansard (en)
15,d$_{randomTree}$,0,0.2780861959120231,0.0,corenlp,Hansard (en)
20,mDD,0,0.1813539901976297,5.696739757501593e-06,corenlp,Hansard (en)
20,nDD,0,0.1762514737187497,-8.260803428827604e-06,corenlp,Hansard (en)
20,Height,1,0.0440779706368119,0.0,corenlp,Hansard (en)
20,Ratio$_{head-final}$,2,0.0002145506007702,-5.6306306306306654e-06,corenlp,Hansard (en)
20,treeDegree,0,0.1915585957221925,0.0,corenlp,Hansard (en)
20,#Leaves,0,0.758904380725892,0.0,corenlp,Hansard (en)
20,degreeVar,0,0.356801471232314,-3.043791705620717e-19,corenlp,Hansard (en)
20,degreeMean,0,0.0938042111008823,0.0,corenlp,Hansard (en)
20,depthVar,1,0.0218969760021288,2.7971204469749204e-05,corenlp,Hansard (en)
20,depthMean,1,0.0347145396661847,1.6805206207661128e-05,corenlp,Hansard (en)
20,d$_{head-final}$,0,0.1122764226667161,0.0,corenlp,Hansard (en)
20,#Crossings,0,1.0,0.0,corenlp,Hansard (en)
20,Height$_{dependency}$,0,0.1728243817539447,0.0,corenlp,Hansard (en)
20,d$_{root}$,0,0.160883014013287,0.0,corenlp,Hansard (en)
20,d$_{randomTree}$,0,0.4816149639199842,0.0,corenlp,Hansard (en)
30,mDD,0,0.1351956933302998,-1.0538539108189236e-05,corenlp,Hansard (en)
30,nDD,1,0.0371262925580486,1.4257662271481485e-05,corenlp,Hansard (en)
30,Height,1,0.0274996950208674,0.0,corenlp,Hansard (en)
30,Ratio$_{head-final}$,2,0.0006810383575628,-4.524068041983432e-06,corenlp,Hansard (en)
30,treeDegree,2,0.002861084740779,0.0,corenlp,Hansard (en)
30,#Leaves,0,0.4292126533244254,0.0,corenlp,Hansard (en)
30,degreeVar,0,0.118713170105331,-7.76141360712682e-06,corenlp,Hansard (en)
30,degreeMean,0,0.5806987203050618,0.0,corenlp,Hansard (en)
